timestamp,ecg,acc,temp,ir,red
1969CC1F1E0,937,NR,NR,1D8B9,1DA3E
1969CC1F1E6,8B2,NR,NR,NR,NR
1969CC1F1EA,NR,NR,NR,1D8B9,1DA3E
1969CC1F1ED,990,NR,NR,NR,NR
1969CC1F1F1,972,NR,NR,NR,NR
1969CC1F1F4,8C9,NR,NR,1D8B9,1DA3E
1969CC1F1F7,8BF,NR,NR,NR,NR
1969CC1F1FB,8E3,NR,NR,NR,NR
1969CC1F1FE,98D,NR,NR,1DA14,1D8A5
1969CC1F202,91D,NR,NR,NR,NR
1969CC1F205,8DB,NR,NR,NR,NR
1969CC1F208,8C9,NR,NR,1DA14,1D8A5
1969CC1F20C,90A,NR,NR,NR,NR
1969CC1F20F,96F,NR,NR,NR,NR
1969CC1F213,8FA,NR,NR,1DA14,1D8A5
1969CC1F216,866,NR,NR,NR,NR
1969CC1F21A,85E,NR,NR,NR,NR
1969CC1F21D,8C2,NR,NR,1DA14,1D8A5
1969CC1F221,8EB,NR,NR,NR,NR
1969CC1F224,893,NR,NR,NR,NR
1969CC1F227,810,NR,NR,1DB68,1D90A
1969CC1F22B,840,NR,NR,NR,NR
1969CC1F22E,8DB,NR,NR,1DB68,1D90A
1969CC1F232,8CB,NR,NR,NR,NR
1969CC1F235,81E,NR,NR,NR,NR
1969CC1F238,7BB,NR,NR,NR,NR
1969CC1F23C,7FB,NR,NR,1DB68,1D90A
1969CC1F23F,89B,NR,NR,NR,NR
1969CC1F243,870,NR,NR,1DB68,1D90A
1969CC1F246,819,NR,NR,NR,NR
1969CC1F249,7AA,NR,NR,NR,NR
1969CC1F24D,7F9,NR,NR,1DA60,1DC61
1969CC1F250,87F,NR,NR,NR,NR
1969CC1F254,84B,NR,NR,NR,NR
1969CC1F25B,7BF,NR,NR,1DA60,1DC61
1969CC1F25E,830,NR,NR,NR,NR
1969CC1F261,8B0,NR,NR,1DA60,1DC61
1969CC1F268,7D3,NR,NR,NR,NR
1969CC1F26C,NR,NR,NR,1DA60,1DC61
1969CC1F26F,827,NR,NR,NR,NR
1969CC1F272,8A5,NR,NR,NR,NR
1969CC1F279,7DB,NR,NR,1DA47,1D796
